TSI NO,MAINTAINED BY,PRIMARY STREET NAME,SECONDARY STREET NAME,SIGNAL TYPE,PEDESTRIAN SIGNAL,GEOLOCATION
S-374,CITY-PARISH,BURBANK DR,S STARING LN,SIGNAL,NO,POINT (-91.127342148346 30.361941276151)
C-223,CITY-PARISH,COMMUNITY COLLEGE DR,BRCC,BEACON,NO,POINT (-91.135990975998 30.449033436492)
C-317,CITY-PARISH,PERKINS RD,POLLARD PKWY,SIGNAL,NO,POINT (-91.132319787649 30.411071263506)
C-290,CITY-PARISH,PERKINS RD,GRAND AVE,SIGNAL,YES,POINT (-91.094892535327 30.377766042966)
S-295,STATE,HOOPER RD,LOVETT RD,SIGNAL,NO,POINT (-91.069586301626 30.540512962666)
C-319,CITY-PARISH,PERKINS RD,COLLEGE DR / LEE DR,SIGNAL,YES,POINT (-91.143330987979 30.416471093055)
S-005,STATE,GREENWELL SPRINGS RD,MAGNOLIA BRIDGE RD,SIGNAL,NO,POINT (-90.987851483273 30.534490719486)
S-121B,CITY-PARISH,NORTH BLVD,10TH ST,SIGNAL,NO,POINT (-91.179661102618 30.447393898422)
S-013,STATE,HOOPER RD,SULLIVAN RD,SIGNAL,NO,POINT (-91.036914929958 30.554276946836)
S-287,CITY-PARISH,AIRLINE HWY,HAMMOND AIRE,SIGNAL,NO,POINT (-91.082475918939 30.43398369074)
S-381,CITY-PARISH,AIRLINE HWY,ANTIOCH RD,SIGNAL,NO,POINT (-91.015456247249 30.361628433338)
C-316,CITY-PARISH,PERKINS RD,QUAIL DR,SIGNAL,NO,POINT (-91.123564733249 30.405434367501)
C-251,CITY-PARISH,CHOCTAW DR,PHLOX AVE,BEACON,NO,POINT (-91.179115329168 30.469495661486)
S-227,CITY-PARISH,SULLIVAN RD,WAX RD,SIGNAL,NO,POINT (-91.028770840695 30.54313336051)
C-318,CITY-PARISH,PERKINS RD,CONGRESS BLVD,SIGNAL,NO,POINT (-91.136690140021 30.413593821002)
S-129,CITY-PARISH,AIRLINE HWY,TOM DR,SIGNAL,NO,POINT (-91.105550779118 30.466302284949)
S-168,CITY-PARISH,FLORIDA ST,19TH ST,SIGNAL,YES,POINT (-91.169320090853 30.449875648347)
S-353,CITY-PARISH,NICHOLSON DR,BLUEBONNET BLVD,SIGNAL,NO,POINT (-91.135669126233 30.33609483469)
